Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total
2021,HYUNDAI,TUCSON,14/01/2024 3:00,Jeddah,10/03/2024 3:00,0,13784,2264,16048
2023,TOYOTA,YARIS,09/03/2024 3:00,Jeddah,10/03/2024 3:00,0,3126,1600,4726
2021,TOYOTA,YARIS,20/02/2024 3:00,Jeddah,10/03/2024 3:00,881,11160,3020,15061
2017,TOYOTA,YARIS,13/02/2024 3:00,Jeddah,10/03/2024 3:00,0,5276,1700,6976
2023,TOYOTA,,07/03/2024 3:00,Jeddah,10/03/2024 3:00,352,1594,908,2854
2022,MAZDA,6 High Plus,29/02/2024 3:00,Jeddah,11/03/2024 3:00,300,3504,3000,6804
2022,TOYOTA,COROLLA,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,2824,1600,4424
2023,MAZDA,CX 9,09/03/2024 3:00,Jeddah,11/03/2024 3:00,0,1695,1800,3495
2023,HYUNDAI,ELANTRA,07/03/2024 3:00,Jeddah,11/03/2024 3:00,0,5641,3000,8641
2020,HYUNDAI,ELANTRA,11/03/2024 3:00,Jeddah,11/03/2024 3:00,0,2460,1800,4260
2023,LEXUS,ES,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,4384,891,5275
2020,HYUNDAI,Kona,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,9028,3200,12228
2024,HYUNDAI,Kona,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,10275,2200,12475
2023,ISUZU,PICKUP,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,3260,1200,4460
2021,TOYOTA,PICKUP 2C,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,9372,5704,15076
2021,NISSAN,X-TRAIL,10/03/2024 3:00,Jeddah,11/03/2024 3:00,0,8719,3100,11819
2022,GMC,YUKON,04/03/2024 3:00,Jeddah,11/03/2024 3:00,0,12551,5000,17551
2023,FIAT,500,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,4254,3000,7254
2022,CHERY,CHERY,18/02/2024 3:00,Jeddah,12/03/2024 3:00,700,5413,3000,9113
2020,TOYOTA,COROLLA,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,7149,2500,9649
2020,TOYOTA,COROLLA,05/02/2024 3:00,Jeddah,12/03/2024 3:00,0,0,500,500
2022,HYUNDAI,ELANTRA,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,2555,4000,6555
2023,HYUNDAI,i10,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,0,1600,1600
2020,HYUNDAI,SANTA FE,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,6154,2200,8354
2022,FORD,TAURUS,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,1278,1500,2778
2020,FORD,TAURUS,11/03/2024 3:00,Jeddah,12/03/2024 3:00,0,16860,3913,20773
2022,BMW,X4 -28i,26/02/2024 3:00,Jeddah,12/03/2024 3:00,0,2109,13000,15109
2024,HYUNDAI,ACCENT,13/03/2024 3:00,Jeddah,13/03/2024 3:00,0,11110,4313,15423
2021,HYUNDAI,ACCENT,12/03/2024 3:00,Jeddah,13/03/2024 3:00,701,1262,2101,4064
2023,NISSAN,ALTIMA,12/03/2024 3:00,Jeddah,13/03/2024 3:00,0,3138,2200,5338
2020,TOYOTA,AVALON,07/03/2024 3:00,Jeddah,13/03/2024 3:00,311,355,1522,2188
2020,HYUNDAI,AZERA,13/03/2024 3:00,Jeddah,13/03/2024 3:00,0,6822,1000,7822
2022,TOYOTA,CAMRY,12/03/2024 3:00,Jeddah,13/03/2024 3:00,0,960,2335,3295
2020,TOYOTA,c-hr,27/02/2024 3:00,Jeddah,13/03/2024 3:00,0,9658,2200,11858
2024,HYUNDAI,Creta,12/03/2024 3:00,Jeddah,13/03/2024 3:00,0,3252,2000,5252
2023,Changan,CS35,05/03/2024 3:00,Jeddah,13/03/2024 3:00,0,714,1200,1914
2023,MAZDA,CX 30,30/09/2023 3:00,Jeddah,13/03/2024 3:00,0,537,800,1337
2022,RENAULT,Dokker,07/03/2024 3:00,Jeddah,13/03/2024 3:00,0,0,1200,1200
2020,HYUNDAI,ELANTRA,11/02/2024 3:00,Jeddah,13/03/2024 3:00,0,3209,1000,4209
2023,KIA,K5,08/02/2024 3:00,Jeddah,13/03/2024 3:00,370,6815,2610,9795
2019,HYUNDAI,SONATA,13/03/2024 3:00,Jeddah,13/03/2024 3:00,0,5305,2000,7305
2022,NISSAN,SUNNY,07/03/2024 3:00,Jeddah,13/03/2024 3:00,0,7055,1600,8655
2023,LEXUS,UX200,12/03/2024 3:00,Jeddah,13/03/2024 3:00,0,2210,4000,6210
2023,TOYOTA,YARIS,20/02/2024 3:00,Jeddah,13/03/2024 3:00,0,9478,1800,11278
2024,SUZUKI,BALENO,14/03/2024 3:00,Jeddah,14/03/2024 3:00,0,991,1900,2891
2022,TOYOTA,CAMRY,13/12/2022 3:00,Jeddah,14/03/2024 3:00,180,3580,5230,8990
2020,TOYOTA,COROLLA,31/01/2024 3:00,Jeddah,14/03/2024 3:00,0,4191,3478,7669
2020,TOYOTA,COROLLA,31/01/2024 3:00,Jeddah,14/03/2024 3:00,0,4191,3478,7669
2024,TOYOTA,COROLLA,13/03/2024 3:00,Jeddah,14/03/2024 3:00,0,653,250,903
2023,SUZUKI,Dzire,14/03/2024 3:00,Jeddah,14/03/2024 3:00,0,9782,3300,13082
2023,LEXUS,ES,13/03/2024 3:00,Jeddah,14/03/2024 3:00,0,2984,400,3384
2022,HYUNDAI,Kona,13/03/2024 3:00,Jeddah,14/03/2024 3:00,0,7331,2800,10131
2017,HYUNDAI,SONATA,25/02/2024 3:00,Jeddah,14/03/2024 3:00,0,4665,1800,6465
2020,HYUNDAI,SONATA,13/03/2024 3:00,Jeddah,14/03/2024 3:00,0,7287,2100,9387
2024,FORD,TAURUS,12/03/2024 3:00,Jeddah,14/03/2024 3:00,0,8880,1800,10680
2023,FORD,Territory,14/12/2023 3:00,Jeddah,14/03/2024 3:00,0,8606,5000,13606
2018,HYUNDAI,TUCSON,12/03/2024 3:00,Jeddah,14/03/2024 3:00,0,6412,1800,8212
2023,TOYOTA,YARIS,15/11/2023 3:00,Jeddah,14/03/2024 3:00,0,0,1600,1600
2017,TOYOTA,CAMRY,14/03/2024 3:00,Jeddah,16/03/2024 3:00,424,5350,2481,8255
2023,MAZDA,CX 30,13/03/2024 3:00,Jeddah,16/03/2024 3:00,50,641,300,991
2019,HYUNDAI,ELANTRA,15/03/2024 3:00,Jeddah,16/03/2024 3:00,0,2572,1600,4172
2019,FORD,EXPIDITION,02/01/2024 3:00,Jeddah,16/03/2024 3:00,0,15414,1800,17214
2015,TOYOTA,GXR,13/03/2024 3:00,Jeddah,16/03/2024 3:00,0,2200,300,2500
2016,NISSAN,INFINITY,15/03/2024 3:00,Jeddah,16/03/2024 3:00,0,2509,0,2509
2023,DODGE,RAM 2C,02/03/2024 3:00,Jeddah,16/03/2024 3:00,0,5322,1800,7122
2021,CHEVROLET,SPARK,14/03/2024 3:00,Jeddah,16/03/2024 3:00,0,3046,2200,5246
2023,KIA,SPORTAGE,14/03/2024 3:00,Jeddah,16/03/2024 3:00,0,7112,1710,8822
2018,NISSAN,SUNNY,14/03/2024 3:00,Jeddah,16/03/2024 3:00,0,966,1500,2466
2020,HYUNDAI,ACCENT,17/03/2024 3:00,Jeddah,17/03/2024 3:00,0,2694,1600,4294
2021,TOYOTA,CAMRY,16/03/2024 3:00,Jeddah,17/03/2024 3:00,0,990,3289,4279
2023,MAZDA,CX 30,29/02/2024 3:00,Jeddah,17/03/2024 3:00,0,16748,7000,23748
2019,HYUNDAI,ELANTRA,17/03/2024 3:00,Jeddah,17/03/2024 3:00,0,619,600,1219
2020,HYUNDAI,ELANTRA,17/03/2024 3:00,Jeddah,17/03/2024 3:00,0,3718,1800,5518
2020,HYUNDAI,ELANTRA,17/03/2024 3:00,Jeddah,17/03/2024 3:00,0,0,1400,1400
2019,MAZDA,Mazda 6,17/03/2024 3:00,Jeddah,17/03/2024 3:00,0,5091,2200,7291
2023,KIA,PEGAS,16/03/2024 3:00,Jeddah,17/03/2024 3:00,0,19247,5508,24755
2022,TOYOTA,PICKUP 2C,17/03/2024 3:00,Jeddah,17/03/2024 3:00,311,3972,1144,5427
2024,TOYOTA,RAV4,16/03/2024 3:00,Jeddah,17/03/2024 3:00,0,294,1200,1494
2018,HYUNDAI,TUCSON,14/03/2024 3:00,Jeddah,17/03/2024 3:00,0,6913,1900,8813
2021,GMC,YUKON,16/01/2024 3:00,Jeddah,17/03/2024 3:00,0,24467,13464,37931
2022,TOYOTA,CAMRY,12/12/2022 3:00,Jeddah,18/03/2024 3:00,210,5482,5631,11323
2020,FORD,escort,17/03/2024 3:00,Jeddah,18/03/2024 3:00,0,8648,2000,10648
2023,TOYOTA,FORTUNER,17/03/2024 3:00,Jeddah,18/03/2024 3:00,0,2418,2901,5319
2024,HYUNDAI,Kona,17/03/2024 3:00,Jeddah,18/03/2024 3:00,265,5867,1166,7298
2018,HYUNDAI,SONATA,18/03/2024 3:00,Jeddah,18/03/2024 3:00,0,3788,1400,5188
2022,GEELY,TUGELLA,17/03/2024 3:00,Jeddah,18/03/2024 3:00,328,2977,1067,4372
2018,HYUNDAI,AZERA,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,4615,2976,7591
2020,TOYOTA,CAMRY,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,1974,1500,3474
2017,TOYOTA,CAMRY,29/01/2024 3:00,Jeddah,19/03/2024 3:00,0,887,1800,2687
2024,TOYOTA,COROLLA,19/03/2024 3:00,Jeddah,19/03/2024 3:00,1007,5711,3835,10553
2023,TOYOTA,COROLLA,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,2419,2378,4797
2018,MAZDA,CX 9,17/03/2024 3:00,Jeddah,19/03/2024 3:00,0,737,1600,2337
2023,SUZUKI,Dzire,26/12/2023 3:00,Jeddah,19/03/2024 3:00,0,2085,2115,4200
2022,HYUNDAI,ELANTRA,17/03/2024 3:00,Jeddah,19/03/2024 3:00,0,3211,3496,6707
2020,HYUNDAI,ELANTRA,19/03/2024 3:00,Jeddah,19/03/2024 3:00,0,2840,1200,4040
2021,LEXUS,ES,18/03/2024 3:00,Jeddah,19/03/2024 3:00,100,3986,1200,5286
2022,FORD,EXPLORER,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,3494,1000,4494
2022,TOYOTA,FORTUNER,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,2327,2751,5078
2021,KIA,K5,14/03/2024 3:00,Jeddah,19/03/2024 3:00,0,11288,3000,14288
2023,MITSUBISHI,L 200,18/03/2024 3:00,Jeddah,19/03/2024 3:00,0,1589,360,1949
2023,KIA,PEGAS,19/03/2024 3:00,Jeddah,19/03/2024 3:00,0,0,700,700
2022,TOYOTA,RAV4,18/03/2024 3:00,Jeddah,19/03/2024 3:00,200,167,1000,1367
2017,TOYOTA,RAV4,12/03/2024 3:00,Jeddah,19/03/2024 3:00,0,0,2697,2697
2019,HYUNDAI,SANTA FE,19/03/2024 3:00,Jeddah,19/03/2024 3:00,0,3959,1300,5259
2024,MAZDA,SEDAN 3,29/02/2024 3:00,Jeddah,19/03/2024 3:00,700,1884,3800,6384
2023,HYUNDAI,SONATA,19/03/2024 3:00,Jeddah,19/03/2024 3:00,0,0,800,800
2023,FORD,TAURUS,24/12/2023 3:00,Jeddah,19/03/2024 3:00,0,19792,3000,22792
2023,FIAT,500,19/03/2024 3:00,Jeddah,20/03/2024 3:00,0,4412,4000,8412
2016,HONDA,ACCORD,18/12/2023 3:00,Jeddah,20/03/2024 3:00,0,0,8433,8433
2024,TOYOTA,CAMRY,19/03/2024 3:00,Jeddah,20/03/2024 3:00,0,4308,1253,5561
2021,TOYOTA,COROLLA,19/03/2024 3:00,Jeddah,20/03/2024 3:00,611,988,1439,3038
2020,TOYOTA,COROLLA,20/03/2024 3:00,Jeddah,20/03/2024 3:00,0,24,800,824
2023,HYUNDAI,Creta,20/03/2024 3:00,Jeddah,20/03/2024 3:00,307,2856,1452,4615
2023,MAZDA,CX 30,18/03/2024 3:00,Jeddah,20/03/2024 3:00,0,1391,1200,2591
2023,TOYOTA,FORTUNER,19/03/2024 3:00,Jeddah,20/03/2024 3:00,406,351,920,1677
2021,TOYOTA,HILUX 2C,19/03/2024 3:00,Jeddah,20/03/2024 3:00,0,3755,1300,5055
2023,ISUZU,NPR1,19/03/2024 3:00,Jeddah,20/03/2024 3:00,300,213,1100,1613
2023,KIA,PEGAS,19/03/2024 3:00,Jeddah,20/03/2024 3:00,0,7351,2900,10251
2022,KIA,PEGAS,20/03/2024 3:00,Jeddah,20/03/2024 3:00,0,0,1500,1500
2017,HYUNDAI,SANTA FE,25/02/2024 3:00,Jeddah,20/03/2024 3:00,0,8241,2000,10241
2023,BMW,X7,18/01/2024 3:00,Jeddah,20/03/2024 3:00,0,1896,1096,2992
2020,NISSAN,X-TRAIL,14/08/2023 3:00,Jeddah,20/03/2024 3:00,0,1187,2000,3187
2023,TOYOTA,YARIS,19/03/2024 3:00,Jeddah,20/03/2024 3:00,1627,11651,3551,16829
2021,TOYOTA,YARIS,20/03/2024 3:00,Jeddah,20/03/2024 3:00,1253,12805,4371,18429
2024,TOYOTA,CAMRY,20/03/2024 3:00,Jeddah,21/03/2024 3:00,0,10017,3700,13717
2023,MAZDA,CX 30,18/03/2024 3:00,Jeddah,21/03/2024 3:00,500,5369,3000,8869
2022,TOYOTA,HIGHLANDER,21/03/2024 3:00,Jeddah,21/03/2024 3:00,0,169,1800,1969
2024,TOYOTA,INNOVA,20/03/2024 3:00,Jeddah,21/03/2024 3:00,0,1967,2042,4009
2020,MAZDA,Mazda 6,21/03/2024 3:00,Jeddah,21/03/2024 3:00,0,5622,1300,6922
2020,CHEVROLET,SPARK,21/03/2024 3:00,Jeddah,21/03/2024 3:00,0,2458,1800,4258
2023,TOYOTA,YARIS,20/03/2024 3:00,Jeddah,21/03/2024 3:00,816,5693,3365,9874
2023,TOYOTA,YARIS,18/03/2024 3:00,Jeddah,21/03/2024 3:00,0,10558,4016,14574
2023,TOYOTA,YARIS,20/03/2024 3:00,Jeddah,21/03/2024 3:00,0,7884,2672,10556
2023,KIA,SORENTO,21/03/2024 3:00,Jeddah,22/03/2024 3:00,0,0,2000,2000
2024,HYUNDAI,ACCENT,21/03/2024 3:00,Jeddah,23/03/2024 3:00,0,0,7500,7500
2022,MITSUBISHI,ASX,22/03/2024 3:00,Jeddah,23/03/2024 3:00,0,11346,1700,13046
2022,HYUNDAI,AZERA,22/03/2024 3:00,Jeddah,23/03/2024 3:00,185,1813,704,2702
2021,TOYOTA,CAMRY,21/03/2024 3:00,Jeddah,23/03/2024 3:00,300,2584,2000,4884
2021,MAZDA,CX 9,23/03/2024 3:00,Jeddah,23/03/2024 3:00,0,345,2000,2345
2023,LEXUS,ES,21/03/2024 3:00,Jeddah,23/03/2024 3:00,0,2782,1220,4002
2021,KIA,K5,23/03/2024 3:00,Jeddah,23/03/2024 3:00,0,0,2000,2000
2022,NISSAN,SUNNY,23/03/2024 3:00,Jeddah,23/03/2024 3:00,0,50,1500,1550
2024,HYUNDAI,TUCSON,22/03/2024 3:00,Jeddah,23/03/2024 3:00,138,0,693,831
2024,HYUNDAI,ACCENT,24/02/2024 3:00,Jeddah,24/03/2024 3:00,0,9478,7000,16478
2024,HYUNDAI,ACCENT,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,0,1700,1700
2022,HONDA,ACCORD,21/03/2024 3:00,Jeddah,24/03/2024 3:00,0,2167,2380,4547
2017,HONDA,ACCORD,22/03/2024 3:00,Jeddah,24/03/2024 3:00,0,1422,1500,2922
2020,NISSAN,ALTIMA,21/03/2024 3:00,Jeddah,24/03/2024 3:00,0,5176,2500,7676
2023,TOYOTA,CAMRY,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,1861,1785,3646
2024,SUZUKI,CARRY,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,2976,3355,6331
2022,TOYOTA,COROLLA,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,1299,3829,5128
2018,HYUNDAI,ELANTRA,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,4200,2500,6700
2023,TOYOTA,FORTUNER,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,13036,1300,14336
2020,CHEVROLET,TAHOE,20/03/2024 3:00,Jeddah,24/03/2024 3:00,0,25532,2999,28531
2022,FORD,TAURUS,01/03/2024 3:00,Jeddah,24/03/2024 3:00,1200,6458,4500,12158
2023,HYUNDAI,TUCSON,24/03/2024 3:00,Jeddah,24/03/2024 3:00,0,814,800,1614
2021,TOYOTA,YARIS,24/03/2024 3:00,Jeddah,24/03/2024 3:00,450,4183,570,5203
2019,HYUNDAI,AZERA,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,316,800,1116
2017,TOYOTA,CAMRY,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,5776,3500,9276
2023,CHEVROLET,CAPTIVA,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,2230,500,2730
2023,HYUNDAI,Creta,24/03/2024 3:00,Jeddah,25/03/2024 3:00,0,6731,2000,8731
2017,DODGE,DURANGO,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,7755,2200,9955
2022,HAVAL,H6,15/10/2023 3:00,Jeddah,25/03/2024 3:00,0,8814,3700,12514
2022,TOYOTA,HIACE,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,7803,2000,9803
2022,GREAT WALL,jolion,24/03/2024 3:00,Jeddah,25/03/2024 3:00,0,3376,3300,6676
2022,HYUNDAI,SANTA FE,23/03/2024 3:00,Jeddah,25/03/2024 3:00,0,5020,2000,7020
2023,KIA,SELTOS,20/03/2024 3:00,Jeddah,25/03/2024 3:00,0,495,300,795
2018,HYUNDAI,SONATA,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,6301,1150,7451
2016,MERCEDES,TRUCK,25/03/2024 3:00,Jeddah,25/03/2024 3:00,0,21728,9500,31228
2024,HYUNDAI,ACCENT,26/03/2024 3:00,Jeddah,26/03/2024 3:00,0,12789,5297,18086
2020,TOYOTA,COROLLA,25/03/2024 3:00,Jeddah,26/03/2024 3:00,0,4806,1500,6306
2018,HYUNDAI,ELANTRA,26/03/2024 3:00,Jeddah,26/03/2024 3:00,0,4562,1400,5962
2020,HYUNDAI,ELANTRA,25/03/2024 3:00,Jeddah,26/03/2024 3:00,0,1212,1100,2312
2023,BMW,I 420,25/03/2024 3:00,Jeddah,26/03/2024 3:00,0,8488,9000,17488
2019,CHEVROLET,MALIBU,08/02/2024 3:00,Jeddah,26/03/2024 3:00,0,0,1500,1500
2021,HONDA,ODYSSEY,26/03/2024 3:00,Jeddah,26/03/2024 3:00,0,2620,1800,4420
2023,MITSUBISHI,Attrage,25/03/2024 3:00,Jeddah,27/03/2024 3:00,0,2098,2000,4098
2023,MITSUBISHI,Attrage,27/03/2024 3:00,Jeddah,27/03/2024 3:00,400,1492,1900,3792
2021,TOYOTA,CAMRY,26/03/2024 3:00,Jeddah,27/03/2024 3:00,0,7062,5000,12062
2022,MAZDA,CX 30,26/03/2024 3:00,Jeddah,27/03/2024 3:00,0,3513,4500,8013
2022,MAZDA,CX 9,27/03/2024 3:00,Jeddah,27/03/2024 3:00,300,3392,3500,7192
2022,MAZDA,CX 9,27/03/2024 3:00,Jeddah,27/03/2024 3:00,300,1482,1200,2982
2020,HYUNDAI,H1 VAN,26/03/2024 3:00,Jeddah,27/03/2024 3:00,0,6817,3500,10317
2023,TOYOTA,HIACE,26/03/2024 3:00,Jeddah,27/03/2024 3:00,979,1796,1982,4757
2024,TOYOTA,INNOVA,26/03/2024 3:00,Jeddah,27/03/2024 3:00,489,381,1309,2179
2023,MITSUBISHI,L 200,27/03/2024 3:00,Jeddah,27/03/2024 3:00,600,7561,2800,10961
2023,ISUZU,NQR,27/03/2024 3:00,Jeddah,27/03/2024 3:00,0,0,2600,2600
2022,TOYOTA,PICKUP 2C,26/03/2024 3:00,Jeddah,27/03/2024 3:00,0,6573,4381,10954
2018,TOYOTA,PRADO,04/09/2023 3:00,Jeddah,27/03/2024 3:00,0,0,17150,17150
2016,HYUNDAI,SANTA FE,02/11/2020 3:00,Jeddah,27/03/2024 3:00,0,0,9786,9786
2023,RANGE ROVER,SPORT,18/03/2024 3:00,Jeddah,27/03/2024 3:00,0,15899,18000,33899
2022,CHEVROLET,TAHOE,27/03/2024 3:00,Jeddah,27/03/2024 3:00,1072,15084,4000,20156
2022,CHEVROLET,TAHOE,21/03/2024 3:00,Jeddah,27/03/2024 3:00,400,11527,3000,14927
2023,FORD,TAURUS,26/03/2024 3:00,Jeddah,27/03/2024 3:00,0,24269,8500,32769
2023,TOYOTA,CAMRY,28/03/2024 3:00,Jeddah,28/03/2024 3:00,0,0,2200,2200
2018,MAZDA,CX3,28/03/2024 3:00,Jeddah,28/03/2024 3:00,0,225,2500,2725
2023,HYUNDAI,Kona,28/03/2024 3:00,Jeddah,28/03/2024 3:00,0,5698,1432,7130
2022,ISUZU,PICKUP 1C,28/03/2024 3:00,Jeddah,28/03/2024 3:00,0,1318,700,2018
2017,HYUNDAI,SONATA,01/08/2019 3:00,Jeddah,28/03/2024 3:00,1712,13967,4698,20377
2018,HYUNDAI,ELANTRA,22/01/2024 3:00,Jeddah,31/03/2024 3:00,0,0,1500,1500
2023,TOYOTA,LAND CRUISER,31/03/2024 3:00,Jeddah,31/03/2024 3:00,0,2029,3757,5786
2021,MG,MG6,30/03/2024 3:00,Jeddah,31/03/2024 3:00,0,0,3500,3500
2023,TOYOTA,RUSH,28/03/2024 3:00,Jeddah,31/03/2024 3:00,0,0,1000,1000
2023,MAZDA,6 High Plus,01/04/2024 3:00,Jeddah,01/04/2024 3:00,0,9307,6000,15307
2021,MAZDA,6 High Plus,01/04/2024 3:00,Jeddah,01/04/2024 3:00,400,3087,2500,5987
2020,HYUNDAI,ACCENT,31/03/2024 3:00,Jeddah,01/04/2024 3:00,0,941,1500,2441
2022,HYUNDAI,ACCENT,31/03/2024 3:00,Jeddah,01/04/2024 3:00,0,3988,4000,7988
2018,HYUNDAI,ACCENT,28/02/2024 3:00,Jeddah,01/04/2024 3:00,0,6869,3500,10369
2022,HONDA,ACCORD,31/03/2024 3:00,Jeddah,01/04/2024 3:00,300,73,700,1073
2022,TOYOTA,AVALON,01/04/2024 3:00,Jeddah,01/04/2024 3:00,194,11355,4570,16119
2020,TOYOTA,CAMRY,01/04/2024 3:00,Jeddah,01/04/2024 3:00,0,18904,4000,22904
2018,TOYOTA,COROLLA,22/06/2022 3:00,Jeddah,01/04/2024 3:00,0,0,800,800
2021,MAZDA,CX 9,31/03/2024 3:00,Jeddah,01/04/2024 3:00,0,5472,4500,9972
2021,TOYOTA,FORTUNER,26/03/2024 3:00,Jeddah,01/04/2024 3:00,655,3327,1970,5952
2020,TOYOTA,HILUX 2C,31/03/2024 3:00,Jeddah,01/04/2024 3:00,0,8950,5000,13950
2022,ISUZU,PICKUP 2C,01/04/2024 3:00,Jeddah,01/04/2024 3:00,0,14910,3000,17910
2023,MAZDA,6 High Plus,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,0,700,700
2023,HYUNDAI,ACCENT,02/04/2024 3:00,Jeddah,02/04/2024 3:00,444,1754,1001,3199
2019,TOYOTA,CAMRY,28/02/2024 3:00,Jeddah,02/04/2024 3:00,0,10388,3000,13388
2021,TOYOTA,CAMRY,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,0,2251,2251
2020,TOYOTA,CAMRY,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,468,50,518
2021,GEELY,COOLRAY,25/03/2024 3:00,Jeddah,02/04/2024 3:00,0,2951,2000,4951
2022,TOYOTA,COROLLA,01/04/2024 3:00,Jeddah,02/04/2024 3:00,816,4482,1675,6973
2018,HYUNDAI,ELANTRA,19/02/2024 3:00,Jeddah,02/04/2024 3:00,0,5733,3000,8733
2019,HYUNDAI,ELANTRA,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,150,1700,1850
2014,LEXUS,IS 250,01/04/2024 3:00,Jeddah,02/04/2024 3:00,0,234,1800,2034
2023,HYUNDAI,palisade,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,0,2000,2000
2020,CHEVROLET,TAHOE,02/04/2024 3:00,Jeddah,02/04/2024 3:00,0,23495,2000,25495
2023,TOYOTA,YARIS,28/03/2024 3:00,Jeddah,02/04/2024 3:00,1276,7325,3925,12526
2024,HYUNDAI,Creta,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,1134,3000,4134
2023,HYUNDAI,Creta,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,8572,2332,10904
2023,HYUNDAI,Creta,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,1734,902,2636
2023,HYUNDAI,ELANTRA,02/04/2024 3:00,Jeddah,03/04/2024 3:00,0,0,1600,1600
2024,TOYOTA,HILUX,03/04/2024 3:00,Jeddah,03/04/2024 3:00,1800,11147,5446,18393
2022,TOYOTA,LAND CRUISER,02/04/2024 3:00,Jeddah,03/04/2024 3:00,405,2204,908,3517
2020,MAZDA,Mazda 6,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,8101,3500,11601
2023,PEUGEOT,PARTNER,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,10452,2300,12752
2019,CHEVROLET,TAHOE,02/03/2024 3:00,Jeddah,03/04/2024 3:00,0,9931,2000,11931
2018,FORD,TAURUS,03/04/2024 3:00,Jeddah,03/04/2024 3:00,0,1196,2000,3196
2023,MAZDA,6 High Plus,03/04/2024 3:00,Jeddah,04/04/2024 3:00,0,5391,5000,10391
2016,BMW,CABRIOLET,03/04/2024 3:00,Jeddah,04/04/2024 3:00,0,0,18000,18000
2019,HYUNDAI,ELANTRA,02/04/2024 3:00,Jeddah,04/04/2024 3:00,0,0,1700,1700
2020,TOYOTA,COROLLA,05/04/2024 3:00,Jeddah,05/04/2024 3:00,0,1779,3000,4779
2020,NISSAN,KICKS,05/04/2024 3:00,Jeddah,06/04/2024 3:00,0,783,700,1483
2023,KIA,SELTOS,05/04/2024 3:00,Jeddah,06/04/2024 3:00,0,523,1400,1923
2018,HYUNDAI,ACCENT,04/04/2024 3:00,Jeddah,07/04/2024 3:00,0,2207,1600,3807
2023,TOYOTA,CAMRY,04/04/2024 3:00,Jeddah,07/04/2024 3:00,200,946,1000,2146
2023,GEELY,COOLRAY,25/03/2024 3:00,Jeddah,07/04/2024 3:00,0,0,5435,5435
2020,TOYOTA,COROLLA,07/04/2024 3:00,Jeddah,07/04/2024 3:00,0,3743,2868,6611
2024,TOYOTA,COROLLA,05/04/2024 3:00,Jeddah,07/04/2024 3:00,750,8907,5000,14657
2021,MAZDA,CX 9,06/04/2024 3:00,Jeddah,07/04/2024 3:00,0,260,900,1160
2023,TOYOTA,HIACE,05/04/2024 3:00,Jeddah,07/04/2024 3:00,387,784,1109,2280
2023,HAVAL,jolion,06/04/2024 3:00,Jeddah,07/04/2024 3:00,0,443,3400,3843
2023,PEUGEOT,Traveller,09/03/2024 3:00,Jeddah,07/04/2024 3:00,0,0,700,700
2018,HONDA,ACCORD,08/04/2024 3:00,Jeddah,08/04/2024 3:00,0,10960,1900,12860
2023,TOYOTA,CAMRY,08/04/2024 3:00,Jeddah,08/04/2024 3:00,469,210,1663,2342
2023,HYUNDAI,TUCSON,07/04/2024 3:00,Jeddah,08/04/2024 3:00,300,1074,495,1869
