,Vehicle Make Year,Vehicle Make,Vehicle Model,Claim Reg Date,Accident Place,Operation Assign Date,Portal_OtherAmt,Portal_PartProviderAmt,Portal_WorkShopAmt,Total,TimeDifference,Other_Amt_Class,WorkShop_Amt_Class,Time_Diff_Class,PartProvider_Amt_Class,Total_Class
5557,2021,TOYOTA,CAMRY,2024-01-11,Jizan,2024-01-14,0,1115.0,1000.0,2115.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5558,2020,KIA,CERATO,2024-01-11,Jizan,2024-01-14,0,1478.0,1623.0,3101.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5559,2024,FORD,Territory,2024-01-14,Jizan,2024-01-15,0,7347.0,2500.0,9847.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5560,2015,HYUNDAI,ACCENT,2024-01-15,Jizan,2024-01-16,0,6533.0,2333.0,8866.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5561,2017,HONDA,ACCORD,2024-01-15,Jizan,2024-01-16,0,11389.0,1681.0,13070.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5562,2021,LEXUS,LX 570,2024-01-15,Jizan,2024-01-16,0,7582.0,1856.0,9438.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5563,2020,HYUNDAI,TUCSON,2024-01-15,Jizan,2024-01-16,0,2600.0,1608.0,4208.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5564,2023,TOYOTA,YARIS,2024-01-15,Jizan,2024-01-16,0,12065.0,3818.0,15883.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5565,2019,HONDA,ACCORD,2024-01-17,Jizan,2024-01-17,0,14295.0,2631.0,16926.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5566,2023,HYUNDAI,Creta,2024-01-16,Jizan,2024-01-17,0,4402.0,4769.0,9171.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5567,2021,HYUNDAI,ELANTRA,2024-01-16,Jizan,2024-01-17,0,10452.0,3200.0,13652.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5568,2018,KIA,OPTIMA,2024-01-16,Jizan,2024-01-17,0,1710.0,700.0,2410.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5569,2021,HYUNDAI,ACCENT,2024-01-17,Jizan,2024-01-18,0,7465.0,2753.0,10218.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5570,2021,HYUNDAI,ELANTRA,2024-01-18,Jizan,2024-01-21,0,5339.0,3029.0,8368.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5571,2023,HYUNDAI,Kona,2024-01-18,Jizan,2024-01-21,0,2931.0,2200.0,5131.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5572,2020,TOYOTA,RUSH,2024-01-18,Jizan,2024-01-21,0,15004.0,2752.0,17756.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5573,2023,TOYOTA,CAMRY,2024-01-22,Jizan,2024-01-23,0,14242.0,2377.0,16619.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5574,2023,TOYOTA,HIACE,2024-01-23,Jizan,2024-01-23,0,4556.0,1100.0,5656.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5575,2021,TOYOTA,JEEP PICKUP,2024-01-10,Jizan,2024-01-23,0,6160.0,2226.0,8386.0,13,Class 1,Class 2,Class 2,Class 2,Class 2
5576,2023,HYUNDAI,SANTA FE,2024-01-21,Jizan,2024-01-23,0,3271.0,1470.0,4741.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5577,2022,FORD,TAURUS,2024-01-22,Jizan,2024-01-23,0,22269.0,2200.0,24469.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5578,2023,TOYOTA,HIACE,2024-01-23,Jizan,2024-01-24,0,797.0,50.0,847.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5579,2024,NISSAN,SUNNY,2023-12-31,Jizan,2024-01-24,0,6129.0,3701.0,9830.0,24,Class 1,Class 2,Class 3,Class 2,Class 2
5580,2020,KIA,CADENZA,2024-01-24,Jizan,2024-01-25,0,7195.0,1202.0,8397.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5581,2023,HYUNDAI,ELANTRA,2023-10-19,Jizan,2024-01-25,1230,3031.0,1232.0,5493.0,98,Class 2,Class 2,Class 3,Class 2,Class 2
5582,2020,MAZDA,6,2024-01-20,Jizan,2024-01-28,0,6326.0,2235.0,8561.0,8,Class 1,Class 2,Class 2,Class 2,Class 2
5583,2024,GEELY,COOLRAY,2024-01-27,Jizan,2024-01-28,0,3957.0,1572.0,5529.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5584,2024,FORD,Territory,2024-01-26,Jizan,2024-01-28,0,271.0,1000.0,1271.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5585,2019,MAZDA,6,2024-01-28,Jizan,2024-01-29,0,3402.0,1120.0,4522.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5586,2022,TOYOTA,CAMRY,2024-01-09,Jizan,2024-01-29,0,6400.0,1722.0,8122.0,20,Class 1,Class 2,Class 3,Class 2,Class 2
5587,2021,HYUNDAI,ELANTRA,2024-01-28,Jizan,2024-01-29,0,10795.0,4007.0,14802.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5588,2018,HYUNDAI,SONATA,2023-12-21,Jizan,2024-01-29,0,0.0,13500.0,13500.0,39,Class 1,Class 2,Class 3,Class 1,Class 2
5589,2023,Changan,Wagon,2024-01-28,Jizan,2024-01-29,0,12210.0,2500.0,14710.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5590,2018,HYUNDAI,ACCENT,2024-01-29,Jizan,2024-01-30,0,4021.0,2279.0,6300.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5591,2022,MITSUBISHI,ASX,2024-01-29,Jizan,2024-01-30,0,315.0,1200.0,1515.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5592,2018,MITSUBISHI,Attrage,2024-01-30,Jizan,2024-01-30,0,930.0,1576.0,2506.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5593,2021,TOYOTA,AVALON,2024-01-29,Jizan,2024-01-30,0,6757.0,2472.0,9229.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5594,2020,TOYOTA,CAMRY,2023-12-20,Jizan,2024-01-30,0,11093.0,2050.0,13143.0,41,Class 1,Class 2,Class 3,Class 2,Class 2
5595,2023,KIA,SPORTAGE,2024-01-29,Jizan,2024-01-30,0,0.0,1800.0,1800.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5596,2024,MAZDA,6 High Plus,2024-01-31,Jizan,2024-01-31,0,2641.0,1493.0,4134.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5597,2022,TOYOTA,AVALON,2024-01-30,Jizan,2024-01-31,0,3862.0,1205.0,5067.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5598,2021,TOYOTA,CAMRY,2024-01-09,Jizan,2024-01-31,0,1748.0,1800.0,3548.0,22,Class 1,Class 2,Class 3,Class 2,Class 2
5599,2016,TOYOTA,FORTUNER,2024-01-31,Jizan,2024-01-31,0,4644.0,1904.0,6548.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5600,2021,KIA,K5,2023-11-13,Jizan,2024-01-31,0,6045.0,2800.0,8845.0,79,Class 1,Class 2,Class 3,Class 2,Class 2
5601,2022,Changan,Wagon,2024-01-31,Jizan,2024-01-31,0,7826.0,1500.0,9326.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5602,2023,TOYOTA,YARIS,2024-01-30,Jizan,2024-01-31,0,220.0,1273.0,1493.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5603,2023,HYUNDAI,ELANTRA,2024-02-01,Jizan,2024-02-01,0,6327.0,5135.0,11462.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5604,2023,TOYOTA,HIACE,2024-01-31,Jizan,2024-02-01,0,2167.0,1000.0,3167.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5605,2023,TOYOTA,RUSH,2024-01-21,Jizan,2024-02-01,0,6033.0,2183.0,8216.0,11,Class 1,Class 2,Class 2,Class 2,Class 2
5606,2020,MAZDA,6,2024-02-01,Jizan,2024-02-03,0,2069.0,1228.0,3297.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5607,2023,TOYOTA,CAMRY,2024-02-04,Jizan,2024-02-05,0,4988.0,1922.0,6910.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5608,2022,TOYOTA,FORTUNER,2024-01-15,Jizan,2024-02-05,0,21210.0,2500.0,23710.0,21,Class 1,Class 2,Class 3,Class 2,Class 2
5609,2023,ISUZU,PICKUP 2C,2024-02-04,Jizan,2024-02-05,0,5051.0,1284.0,6335.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5610,2021,HYUNDAI,ACCENT,2024-02-06,Jizan,2024-02-06,0,2273.0,1071.0,3344.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5611,2023,TOYOTA,COROLLA,2024-02-06,Jizan,2024-02-06,0,5316.0,1498.0,6814.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5612,2022,Changan,cs85,2024-02-06,Jizan,2024-02-06,0,7041.0,2000.0,9041.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5613,2022,CHEVROLET,TRAVERSE,2024-02-06,Jizan,2024-02-06,0,5519.0,1200.0,6719.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5614,2024,GEELY,COOLRAY,2024-02-07,Jizan,2024-02-07,0,245.0,800.0,1045.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5615,2018,LEXUS,IS 350,2024-02-07,Jizan,2024-02-07,0,2601.0,1032.0,3633.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5616,2022,HAVAL,jolion,2024-02-06,Jizan,2024-02-07,0,0.0,1000.0,1000.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5617,2021,TOYOTA,COROLLA,2024-02-07,Jizan,2024-02-08,0,1476.0,2154.0,3630.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5618,2021,TOYOTA,HILUX 2C,2024-02-07,Jizan,2024-02-08,0,4341.0,1624.0,5965.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5619,2021,TOYOTA,CAMRY,2024-02-08,Jizan,2024-02-11,0,4912.0,1314.0,6226.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5620,2020,TOYOTA,CAMRY,2024-02-07,Jizan,2024-02-11,0,22592.0,2228.0,24820.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
5621,2020,TOYOTA,COROLLA,2024-02-06,Jizan,2024-02-11,0,1313.0,1544.0,2857.0,5,Class 1,Class 2,Class 2,Class 2,Class 2
5622,2019,HYUNDAI,ELANTRA,2024-02-09,Jizan,2024-02-11,0,588.0,700.0,1288.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5623,2022,MG,ZS,2024-01-14,Jizan,2024-02-11,0,10643.0,2900.0,13543.0,28,Class 1,Class 2,Class 3,Class 2,Class 2
5624,2017,HONDA,ACCORD,2024-01-28,Jizan,2024-02-12,0,13977.0,2137.0,16114.0,15,Class 1,Class 2,Class 3,Class 2,Class 2
5625,2023,FORD,TAURUS,2024-01-19,Jizan,2024-02-12,0,7216.0,6000.0,13216.0,24,Class 1,Class 2,Class 3,Class 2,Class 2
5626,2020,HYUNDAI,ACCENT,2024-02-11,Jizan,2024-02-13,0,4686.0,2000.0,6686.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5627,2020,TOYOTA,COROLLA,2024-02-12,Jizan,2024-02-13,0,10278.0,2200.0,12478.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5628,2016,NISSAN,PICKUP 2C,2024-02-12,Jizan,2024-02-13,0,1460.0,1309.0,2769.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5629,2021,MAZDA,CX 30,2024-02-13,Jizan,2024-02-14,0,10143.0,2500.0,12643.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5630,2023,HYUNDAI,Kona,2024-02-13,Jizan,2024-02-14,0,0.0,1000.0,1000.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5631,2020,TOYOTA,RAV4,2024-02-14,Jizan,2024-02-15,0,12039.0,1153.0,13192.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5632,2022,TOYOTA,AVALON,2024-02-15,Jizan,2024-02-18,0,1510.0,687.0,2197.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5633,2021,TOYOTA,COROLLA,2024-02-19,Jizan,2024-02-19,0,5955.0,1969.0,7924.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5634,2022,MAZDA,CX 30,2024-02-18,Jizan,2024-02-19,0,4780.0,3500.0,8280.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5635,2024,HYUNDAI,ELANTRA,2024-02-18,Jizan,2024-02-19,0,1937.0,800.0,2737.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5636,2023,GEELY,GT Emgrand,2024-02-18,Jizan,2024-02-19,0,2691.0,800.0,3491.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5637,2023,TOYOTA,HIACE,2024-02-18,Jizan,2024-02-19,0,6671.0,2467.0,9138.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5638,2021,MG,HS,2024-02-03,Jizan,2024-02-19,0,8877.0,1800.0,10677.0,16,Class 1,Class 2,Class 3,Class 2,Class 2
5639,2024,NISSAN,KICKS,2024-02-18,Jizan,2024-02-19,0,1267.0,2500.0,3767.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5640,2022,KIA,Quoris,2024-02-13,Jizan,2024-02-19,0,3880.0,2800.0,6680.0,6,Class 1,Class 2,Class 2,Class 2,Class 2
5641,2020,KIA,SELTOS,2024-02-19,Jizan,2024-02-19,0,1130.0,400.0,1530.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5642,2023,TOYOTA,YARIS,2024-02-11,Jizan,2024-02-19,0,3542.0,2747.0,6289.0,8,Class 1,Class 2,Class 2,Class 2,Class 2
5643,2023,TOYOTA,CAMRY,2024-02-19,Jizan,2024-02-20,0,12812.0,3250.0,16062.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5644,2020,TOYOTA,FORTUNER,2024-01-29,Jizan,2024-02-20,0,17079.0,2094.0,19173.0,22,Class 1,Class 2,Class 3,Class 2,Class 2
5645,2020,MG,RX8,2023-10-01,Jizan,2024-02-20,0,0.0,4091.9,4091.9,142,Class 1,Class 2,Class 3,Class 1,Class 2
5646,2023,TOYOTA,HIACE,2024-02-20,Jizan,2024-02-21,0,0.0,1569.0,1569.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5647,2022,HYUNDAI,Kona,2024-02-21,Jizan,2024-02-22,0,5607.0,3177.0,8784.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5648,2023,HYUNDAI,SONATA,2024-02-21,Jizan,2024-02-22,0,27229.0,3396.0,30625.0,1,Class 1,Class 2,Class 2,Class 3,Class 2
5649,2020,HYUNDAI,ACCENT,2024-02-24,Jizan,2024-02-25,0,6450.0,5000.0,11450.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5650,2017,HYUNDAI,ELANTRA,2024-02-23,Jizan,2024-02-25,0,700.0,700.0,1400.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5651,2023,MG,MG GT,2024-02-22,Jizan,2024-02-25,0,3340.0,1477.0,4817.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5652,2020,HYUNDAI,ELANTRA,2024-02-25,Jizan,2024-02-26,0,9307.0,2000.0,11307.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5653,2021,MG,RX8,2024-02-14,Jizan,2024-02-26,0,11604.0,2103.0,13707.0,12,Class 1,Class 2,Class 2,Class 2,Class 2
5654,2020,FORD,TAURUS,2024-02-25,Jizan,2024-02-26,0,0.0,700.0,700.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5655,2020,TOYOTA,COROLLA,2024-02-26,Jizan,2024-02-27,0,1206.0,130.0,1336.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5656,2022,FORD,EXPLORER,2024-02-26,Jizan,2024-02-27,0,8853.0,1700.0,10553.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5657,2022,HYUNDAI,Creta,2024-02-28,Jizan,2024-02-28,0,394.0,3000.0,3394.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5658,2024,HYUNDAI,ELANTRA,2024-02-27,Jizan,2024-02-28,0,0.0,2294.0,2294.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5659,2020,KIA,OPTIMA,2024-02-27,Jizan,2024-02-28,0,4750.0,800.0,5550.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5660,2023,MAZDA,CX 9,2024-02-28,Jizan,2024-02-29,0,465.0,800.0,1265.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5661,2022,TOYOTA,HIGHLANDER,2024-02-28,Jizan,2024-02-29,0,4380.0,1504.0,5884.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5662,2023,Changan,Hunter F70,2024-02-28,Jizan,2024-02-29,0,6081.0,2400.0,8481.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5663,2020,TOYOTA,CAMRY,2024-02-28,Jizan,2024-03-03,0,8694.0,2025.0,10719.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
5664,2022,TOYOTA,COROLLA,2024-02-14,Jizan,2024-03-03,0,2292.0,2000.0,4292.0,18,Class 1,Class 2,Class 3,Class 2,Class 2
5665,2021,KIA,K5,2024-02-12,Jizan,2024-03-03,0,2641.0,900.0,3541.0,20,Class 1,Class 2,Class 3,Class 2,Class 2
5666,2021,HYUNDAI,SANTA FE,2024-02-29,Jizan,2024-03-03,0,1111.0,2551.0,3662.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5667,2020,TOYOTA,CAMRY,2024-03-04,Jizan,2024-03-04,0,6616.0,1500.0,8116.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5668,2024,TOYOTA,CAMRY,2024-03-03,Jizan,2024-03-04,0,191.0,1804.0,1995.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5669,2022,KIA,CERATO,2024-03-04,Jizan,2024-03-04,0,17279.0,3500.0,20779.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5670,2021,TOYOTA,HIGHLANDER,2024-03-03,Jizan,2024-03-04,0,8161.0,2500.0,10661.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5671,2021,TOYOTA,CAMRY,2024-03-04,Jizan,2024-03-05,0,865.0,2298.0,3163.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5672,2020,TOYOTA,COROLLA,2024-03-04,Jizan,2024-03-05,0,2182.0,1500.0,3682.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5673,2023,TOYOTA,COROLLA,2024-02-06,Jizan,2024-03-05,0,4942.0,1786.0,6728.0,28,Class 1,Class 2,Class 3,Class 2,Class 2
5674,2020,LEXUS,IS 250,2024-03-05,Jizan,2024-03-05,0,9290.0,2300.0,11590.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5675,2021,KIA,Swent,2024-03-04,Jizan,2024-03-05,0,3565.0,2800.0,6365.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5676,2019,HYUNDAI,AZERA,2024-03-05,Jizan,2024-03-06,0,1412.0,1000.0,2412.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5677,2023,TOYOTA,CAMRY,2024-03-05,Jizan,2024-03-06,0,133.0,1180.0,1313.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5678,2023,TOYOTA,FJ CRUISER,2024-03-05,Jizan,2024-03-06,0,31227.0,3000.0,34227.0,1,Class 1,Class 2,Class 2,Class 3,Class 2
5679,2023,TOYOTA,Liteace,2024-03-05,Jizan,2024-03-06,0,2113.0,2626.0,4739.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5680,2019,TOYOTA,RUSH,2024-03-06,Jizan,2024-03-06,0,3836.0,2500.0,6336.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5681,2020,TOYOTA,FORTUNER,2024-03-03,Jizan,2024-03-07,0,10812.0,1500.0,12312.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
5682,2019,TOYOTA,CAMRY,2024-03-10,Jizan,2024-03-10,0,485.0,1200.0,1685.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5683,2018,HYUNDAI,ELANTRA,2023-12-06,Jizan,2024-03-10,0,1696.0,2000.0,3696.0,95,Class 1,Class 2,Class 3,Class 2,Class 2
5684,2020,CHEVROLET,SPARK,2024-03-08,Jizan,2024-03-10,0,1322.0,1600.0,2922.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5685,2024,HYUNDAI,TUCSON,2024-03-06,Jizan,2024-03-10,0,4126.0,2935.0,7061.0,4,Class 1,Class 2,Class 2,Class 2,Class 2
5686,2022,TOYOTA,CAMRY,2024-03-11,Jizan,2024-03-11,0,19511.0,2831.0,22342.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5687,2021,TOYOTA,RAV4,2024-03-11,Jizan,2024-03-11,0,10367.0,3247.0,13614.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5688,2023,TOYOTA,CAMRY,2024-02-21,Jizan,2024-03-12,0,0.0,1296.0,1296.0,20,Class 1,Class 2,Class 3,Class 1,Class 2
5689,2020,Changan,CS 75,2024-03-11,Jizan,2024-03-12,0,4390.0,2000.0,6390.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5690,2023,TOYOTA,PICKUP 2C,2024-03-11,Jizan,2024-03-12,0,1757.0,993.0,2750.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5691,2021,HYUNDAI,TUCSON,2024-03-11,Jizan,2024-03-12,0,9434.0,2500.0,11934.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5692,2024,HYUNDAI,ACCENT,2024-03-12,Jizan,2024-03-13,0,2468.0,705.0,3173.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5693,2021,ISUZU,PICKUP 1C,2024-03-13,Jizan,2024-03-13,0,1978.0,500.0,2478.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5694,2020,TOYOTA,COROLLA,2024-03-14,Jizan,2024-03-14,0,16424.0,2200.0,18624.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5695,2020,MITSUBISHI,Eclipse,2024-03-14,Jizan,2024-03-14,0,3840.0,1800.0,5640.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5696,2017,HYUNDAI,ELANTRA,2024-03-14,Jizan,2024-03-16,0,620.0,700.0,1320.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5697,2017,HYUNDAI,TUCSON,2024-03-14,Jizan,2024-03-16,0,940.0,800.0,1740.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5698,2020,TOYOTA,CAMRY,2024-03-18,Jizan,2024-03-18,0,3801.0,2800.0,6601.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5699,2021,MAZDA,CX 9,2024-03-17,Jizan,2024-03-18,0,1755.0,2800.0,4555.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5700,2022,KIA,K5,2024-03-15,Jizan,2024-03-18,0,4403.0,2800.0,7203.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5701,2020,HYUNDAI,Kona,2024-03-18,Jizan,2024-03-18,0,2481.0,1550.0,4031.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5702,2020,MAZDA,Mazda 6,2024-02-28,Jizan,2024-03-18,0,2006.0,1485.0,3491.0,19,Class 1,Class 2,Class 3,Class 2,Class 2
5703,2023,TOYOTA,CAMRY,2024-03-18,Jizan,2024-03-19,0,0.0,921.0,921.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5704,2023,TOYOTA,RUSH,2024-03-18,Jizan,2024-03-19,0,21416.0,2305.0,23721.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5705,2019,DODGE,CHARGER,2024-03-20,Jizan,2024-03-20,0,13068.0,1000.0,14068.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5706,2023,NISSAN,PATHFINDER,2024-03-19,Jizan,2024-03-20,0,513.0,1500.0,2013.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5707,2023,TOYOTA,CAMRY,2024-03-20,Jizan,2024-03-21,0,6387.0,1373.0,7760.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5708,2020,TOYOTA,CAMRY,2024-03-20,Jizan,2024-03-21,0,6027.0,2342.0,8369.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5709,2022,HYUNDAI,ELANTRA,2024-02-10,Jizan,2024-03-21,0,13923.0,4198.0,18121.0,40,Class 1,Class 2,Class 3,Class 2,Class 2
5710,2020,TOYOTA,PRADO,2024-03-21,Jizan,2024-03-21,0,0.0,2490.0,2490.0,0,Class 1,Class 2,Class 1,Class 1,Class 2
5711,2019,GMC,TERRAIN,2024-03-20,Jizan,2024-03-21,0,4765.0,1400.0,6165.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5712,2022,HYUNDAI,ACCENT,2024-03-23,Jizan,2024-03-23,0,6573.0,4500.0,11073.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5713,2019,HYUNDAI,ELANTRA,2024-03-21,Jizan,2024-03-24,0,7056.0,2000.0,9056.0,3,Class 1,Class 2,Class 2,Class 2,Class 2
5714,2020,MAZDA,Mazda 6,2024-03-22,Jizan,2024-03-24,0,3314.0,1500.0,4814.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5715,2019,HYUNDAI,SONATA,2024-03-22,Jizan,2024-03-24,0,14400.0,3000.0,17400.0,2,Class 1,Class 2,Class 2,Class 2,Class 2
5716,2022,TOYOTA,COROLLA,2024-03-25,Jizan,2024-03-25,0,2633.0,1461.0,4094.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5717,2023,HYUNDAI,ELANTRA,2024-03-25,Jizan,2024-03-25,0,38.0,1369.0,1407.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5718,2022,HONDA,ACCORD,2024-03-27,Jizan,2024-03-28,0,0.0,2500.0,2500.0,1,Class 1,Class 2,Class 2,Class 1,Class 2
5719,2023,CHERY,Arrizo 6,2023-11-26,Jizan,2024-03-28,0,12978.0,2935.0,15913.0,123,Class 1,Class 2,Class 3,Class 2,Class 2
5720,2023,TOYOTA,CAMRY,2024-03-28,Jizan,2024-03-28,0,484.0,1473.0,1957.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5721,2022,TOYOTA,RUSH,2024-03-30,Jizan,2024-03-31,0,9621.0,2331.0,11952.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5722,2023,MAZDA,6 High Plus,2024-04-01,Jizan,2024-04-01,0,3001.0,800.0,3801.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5723,2021,HYUNDAI,ACCENT,2024-03-31,Jizan,2024-04-01,0,2966.0,1839.0,4805.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5724,2023,TOYOTA,CAMRY,2024-03-31,Jizan,2024-04-01,0,2737.0,2000.0,4737.0,1,Class 1,Class 2,Class 2,Class 2,Class 2
5725,2021,TOYOTA,CAMRY,2024-04-01,Jizan,2024-04-01,0,828.0,2168.0,2996.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
5726,2022,TOYOTA,FORTUNER,2024-04-02,Jizan,2024-04-02,0,138.0,785.0,923.0,0,Class 1,Class 2,Class 1,Class 2,Class 2
